Province,Sex,Population Aged Syears & above,Population who are Can read & write,,literacy Rate
Province 1,Male,1960237,1553960,,79.27
,Female,2169418,1387034,,63.94
,Total,4129655,2940994,,71.22
Province 2,Male,2416843,1452362,,60.09
,Female,"23,93,&'.JO",930760,,38.88
,Total,4810643,2383122,,49.54
Province 3,Male,2533555,2098279,,82.82
,Female,2584117,1732375,,67.04
,Total,5117672,3830654,,74.85
Gandaki,Male,984131,08/22/2094,,83.54
,Female,1212916,821.412,,67.72
,Total,2197047,1643506,,74.81
Province 5,Male,1908655,1441036,,75.5
,Female,2139955,1248317,,58.33
,Total,40.4861,2689353,,66.43
Karna Ii,Male,664602,484395,,72.88
,Female,702400,373731,,53.21
,Total,1367002,858126,,62.77
Province 7,Male,1066061,814156,,76.37
,Female,1189851,617875,,51.93
,Total,2255912,1432031,,63.48
Nepal,Male,11534084,8666282,,75.14
,Female,12392457,7111504,,57.39
,Total,23926541,15777786,,65.94
