Province,Constituent,,,Community,,,Private,,,Total
,Male,Female,Total,Male,Female,Total,Male,Female,Total,
Province 1,6082,5725,11807,5635,9679,15314,6142,8087,14229,41350
Province 2,4200,2153,6353,2899,4032,6931,5347,5029,10376,23660
Province 3,42092,31608,73700,11459,24158,35617,40583,39096,79679,188996
G.and.ak.i,5409,6419,11828,2798,8381,11179,3039,3334,6373,29380
Province 5,4838,4100,8938,8016,13302,21318,6314,6475,12789,43045
KarnaIi,3658,2025,5683,3078,1598,4676,425,404,829,11188
Province 7,1887,1576,3463,6826,9034,15860,1973,2162,4135,23458
Total,68166,53606,121772,40711,70184,110895,63823,64587,128410,"l,61,077"
