Province,Total(1-12),,,Basic (1-5),,,Basic (&-8),,,,Secondary (9-10),,,Secondary (11-12),,
,Female,Male,Total,Female,Male,Total,Female,Male,,Total,female,Male,Total,Female,Male,Total
Province 1,18179,35638,53817,13853,19630,33483,2876,7938,,10814,1082,5613,6695,368,2457,2825
Province 2,6339,19866,26205,5077,11501,16578,864,3886,,4750,246,2827,3073,152,1652,1804
Province 3,39865,46294,86159,28149,23836,51985,6439,8660,,15099,3916,10084,14000,1361,3714,5075
Gandaki,18394,27519,45913,13624,14105,21n9,2795,5111,,7906,1174,5136,6310,801,3167,3968
Province 5,22966,38056,61022,18597,22453,41050,2659,6547,,9206,1057,5969,7026,653,3087,3740
Karnali,5918,14674,20592,4314,8076,12390,1083,3372,,4455,377,1909,2286,144,1317,1461
Province 7,8395,23416,31811,6367,12534,18901,1177,5348,,6525,517,3211,3728,334,2323,2657
Total,120056,205463,325519,89981,112135,202116,17893,40862,,58755,8369,34749,43118,3813,17717,21530
