SN,University,Province 1,Province 2,Province 3,Gandaki,,Province S,Karnali,Province 7,Total
1,Tr bhuvan University,161,100,479,107,,172,54,88,1161
2,NepalSanskr t University,1,3,3,3,,6,0,2,18
3,Kathmandu University,1,0,17,1,,2,0,0,21
4,PurbanchalUniversity,32,23,67,4,,4,0,1,131
5,Pokhara University,0,0,37,9,,12,0,4,62
6,LumbiniBauddha University,0,0,5,0,,1,0,0,6
7,Agriculture and Forestry University,0,0,2,0,,0,0,0,2
8,Mid-Western University,0,0,0,0,,0,1,0,1
9,Far Western University,0,0,0,0,,0,0,1,1
10,BP Koirala Institute for Health Sciences,1,0,0,0,,0,0,0,1
11,National Academy of Medical Sciences,0,0,1,0,,0,0,0,1
12,Patan Academy of Health Science,0,0,1,0,,0,0,0,1
13,KarnaliAcademy HealthSciences,0,0,0,0,,0,1,0,1
14,NepalOpen University,,,,,,,,,
15,RajarshiJanak University,,,,,,,,,
,Total,196,126,612,124,,197,56,96,1407
